slider_pre.response,slider_pre.rt,key_val.keys,key_val.rt,key_aro.keys,key_aro.rt,key_qual.keys,key_qual.rt,key_ncat.keys,key_ncat.rt,key_cats.keys,key_cats.rt,ncat_order.thisRepN,ncat_order.thisTrialN,ncat_order.thisN,ncat_order.thisIndex,ncat_order.ran,cond_cat,participant,age,gender,handedness (L/R),site (IMT/Donders),date,expName,psychopyVersion,OS,frameRate,img_trials.thisRepN,img_trials.thisTrialN,img_trials.thisN,img_trials.thisIndex,img_trials.ran,filename,slider_post.response,slider_post.rt,key_fb.keys,key_fb.rt,fb.thisRepN,fb.thisTrialN,fb.thisN,fb.thisIndex,fb.ran,fb_qst,textbox_openfb.text
,,,,,,,,,,,,0,3,3,3,1,fourth,3,21,female,right,donders,2021-07-09_16h02.31.236,ImageRatingTask_S5,2021.1.4,Win32,59.65163445,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,4,4,4,1,fifth,3,21,female,right,donders,2021-07-09_16h02.31.236,ImageRatingTask_S5,2021.1.4,Win32,59.65163445,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,5,5,5,1,sixth,3,21,female,right,donders,2021-07-09_16h02.31.236,ImageRatingTask_S5,2021.1.4,Win32,59.65163445,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,6,6,6,1,seventh,3,21,female,right,donders,2021-07-09_16h02.31.236,ImageRatingTask_S5,2021.1.4,Win32,59.65163445,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,7,7,7,1,last,3,21,female,right,donders,2021-07-09_16h02.31.236,ImageRatingTask_S5,2021.1.4,Win32,59.65163445,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3,21,female,right,donders,2021-07-09_16h02.31.236,ImageRatingTask_S5,2021.1.4,Win32,59.65163445,0,8,8,106,1,DreamStudyImages_rs1000x750g/Mammals/Dog 14.jpg,,,,,,,,,,,
,,5,1.7114,1,0.3832,4,1.8207,1,0.8171,6,0.611,0,0,0,0,1,main,3,21,female,right,donders,2021-07-09_16h02.31.236,ImageRatingTask_S5,2021.1.4,Win32,59.65163445,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,1,1,1,1,second,3,21,female,right,donders,2021-07-09_16h02.31.236,ImageRatingTask_S5,2021.1.4,Win32,59.65163445,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,2,2,2,1,third,3,21,female,right,donders,2021-07-09_16h02.31.236,ImageRatingTask_S5,2021.1.4,Win32,59.65163445,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,3,3,3,1,fourth,3,21,female,right,donders,2021-07-09_16h02.31.236,ImageRatingTask_S5,2021.1.4,Win32,59.65163445,,,,,,,,,,,,,,,,,
